Programme,p2_mu,p2_sigma,p3_mu,p3_sigma,N_3_max,eNPV,p_3eSS,assurance,N2,upto_p2_cost,p3_cost,total_cost
AA,21,39,25.2,44.123463146040564,143,397442.4246021615,143,0.6094926283534339,168.0,140620.0,90488,248108.0
AA,21,39,25.2,44.123463146040564,141,397433.7597870347,141,0.6086989196233192,168.0,140620.0,89656,247276.0
AA,21,39,25.2,44.123463146040564,145,397433.29864596785,145,0.6102695400316693,168.0,140620.0,91320,248940.0
AA,21,39,25.2,44.123463146040564,147,397406.9926183508,147,0.6110302312467342,168.0,140620.0,92152,249772.0
AA,21,39,25.2,44.123463146040564,139,397406.66292245244,139,0.6078878083823545,168.0,140620.0,88824,246444.0
AA,21,39,25.2,44.123463146040564,149,397364.08848137164,149,0.6117752514546781,168.0,140620.0,92984,250604.0
AA,21,39,25.2,44.123463146040564,137,397360.46016611427,137,0.6070586584263031,168.0,140620.0,87992,245612.0
AA,21,39,25.2,44.123463146040564,151,397305.14116653625,151,0.6125051245908115,168.0,140620.0,93816,251436.0
AA,21,39,25.2,44.123463146040564,135,397294.44296634756,135,0.60621080078028,168.0,140620.0,87160,244780.0
AA,21,39,25.2,44.123463146040564,153,397230.6801601519,153,0.6132203505665106,168.0,140620.0,94648,252268.0
AA,21,39,25.2,44.123463146040564,133,397207.8657423522,133,0.6053435315085673,168.0,140620.0,86328,243948.0
AA,21,39,25.2,44.123463146040564,155,397141.2109768966,155,0.6139214066604788,168.0,140620.0,95480,253100.0
AA,21,39,25.2,44.123463146040564,131,397099.94337292097,131,0.6044561093436049,168.0,140620.0,85496,243116.0
AA,21,39,25.2,44.123463146040564,157,397037.2165307688,157,0.6146087488131216,168.0,140620.0,96312,253932.0
AA,21,39,25.2,44.123463146040564,129,396969.84847471735,129,0.6035477531162925,168.0,140620.0,84664,242284.0
AA,21,39,25.2,44.123463146040564,159,396919.15841173916,159,0.6152828128318888,168.0,140620.0,97144,254764.0
AA,21,39,25.2,44.123463146040564,127,396816.708449034,127,0.6026176389677038,168.0,140620.0,83832,241452.0
AA,21,39,25.2,44.123463146040564,161,396787.4780756538,161,0.6159440155147156,168.0,140620.0,97976,255596.0
AA,21,39,25.2,44.123463146040564,163,396642.5979542517,163,0.6165927556980384,168.0,140620.0,98808,256428.0
AA,21,39,25.2,44.123463146040564,125,396639.6022734591,125,0.6016648973199574,168.0,140620.0,83000,240620.0
AA,21,39,25.2,44.123463146040564,165,396484.9224915423,165,0.6172294152352849,168.0,140620.0,99640,257260.0
AA,21,39,25.2,44.123463146040564,123,396437.55701209663,123,0.6006886095813619,168.0,140620.0,82168,239788.0
AA,21,39,25.2,44.123463146040564,167,396314.83911223337,167,0.6178543599112092,168.0,140620.0,100472,258092.0
AA,21,39,25.2,44.123463146040564,121,396209.54401479044,121,0.5996878045579355,168.0,140620.0,81336,238956.0
AA,21,39,25.2,44.123463146040564,169,396132.71912739903,169,0.6184679402969735,168.0,140620.0,101304,258924.0
AA,21,39,25.2,44.123463146040564,119,395954.474772178,119,0.5986614545399793,168.0,140620.0,80504,238124.0
AA,21,39,25.2,44.123463146040564,171,395938.9185821258,171,0.6190704925504475,168.0,140620.0,102136,259756.0
AA,21,39,25.2,44.123463146040564,173,395733.77904946846,173,0.6196623391658176,168.0,140620.0,102968,260588.0
AA,21,39,25.2,44.123463146040564,117,395671.19638925896,117,0.5976084710284744,168.0,140620.0,79672,237292.0
AA,21,39,25.2,44.123463146040564,175,395517.62837467843,175,0.6202437896762456,168.0,140620.0,103800,261420.0
AA,21,39,25.2,44.123463146040564,115,395358.48663543595,115,0.5965277000616063,168.0,140620.0,78840,236460.0
AA,21,39,25.2,44.123463146040564,177,395290.78137333714,177,0.620815141313007,168.0,140620.0,104632,262252.0
AA,21,39,25.2,44.123463146040564,179,395053.54048671783,179,0.6213766796242473,168.0,140620.0,105464,263084.0
AA,21,39,25.2,44.123463146040564,113,395015.04852355376,113,0.5954179170965972,168.0,140620.0,78008,235628.0
AA,21,39,25.2,44.123463146040564,181,394806.19639743655,181,0.621928679056245,168.0,140620.0,106296,263916.0
AA,21,39,25.2,44.123463146040564,111,394639.5043642452,111,0.5942778213961515,168.0,140620.0,77176,234796.0
AA,21,39,25.2,44.123463146040564,183,394549.02860819304,183,0.6224714034998269,168.0,140620.0,107128,264748.0
AA,21,39,25.2,44.123463146040564,185,394282.30598618684,185,0.6230051068043743,168.0,140620.0,107960,265580.0
AA,21,39,25.2,44.123463146040564,109,394230.3892347168,109,0.5931060298620483,168.0,140620.0,76344,233964.0
AA,21,39,25.2,44.123463146040564,187,394006.28727557673,187,0.6235300332616598,168.0,140620.0,108792,266412.0
AA,21,39,25.2,44.123463146040564,107,393786.143792846,107,0.591901070250614,168.0,140620.0,75512,233132.0
AA,21,39,25.2,44.123463146040564,189,393721.2215801801,189,0.6240464180615843,168.0,140620.0,109624,267244.0
AA,21,39,25.2,44.123463146040564,191,393427.3488184215,191,0.6245544877217142,168.0,140620.0,110456,268076.0
AA,21,39,25.2,44.123463146040564,105,393305.1063578945,105,0.5906613736957735,168.0,140620.0,74680,232300.0
AA,21,39,25.2,44.123463146040564,193,393124.9001523921,193,0.6250544604923753,168.0,140620.0,111288,268908.0
AA,21,39,25.2,44.123463146040564,195,392814.0983927457,195,0.6255465467389332,168.0,140620.0,112120,269740.0
AA,21,39,25.2,44.123463146040564,103,392785.5041680668,103,0.5893852664549271,168.0,140620.0,73848,231468.0
AA,21,39,25.2,44.123463146040564,197,392495.1583810119,197,0.6260309493027516,168.0,140620.0,112952,270572.0
AA,21,39,25.2,44.123463146040564,101,392225.4437122538,101,0.5880709607807217,168.0,140620.0,73016,230636.0
AA,21,39,25.2,44.123463146040564,199,392168.28735079966,199,0.626507863842221,168.0,140620.0,113784,271404.0
AA,21,39,25.2,44.123463146040564,201,391833.6852692539,201,0.6269774791551426,168.0,140620.0,114616,272236.0
AA,21,39,25.2,44.123463146040564,99,391622.90001829923,99,0.5867165448076317,168.0,140620.0,72184,229804.0
AA,21,39,25.2,44.123463146040564,203,391491.54516001977,203,0.6274399774836532,168.0,140620.0,115448,273068.0
AA,21,39,25.2,44.123463146040564,205,391142.053408892,205,0.6278955348028024,168.0,140620.0,116280,273900.0
AA,21,39,25.2,44.123463146040564,97,390975.7047625745,97,0.5853199713256838,168.0,140620.0,71352,228972.0
AA,21,39,25.2,44.123463146040564,207,390785.39005322405,207,0.628344321093796,168.0,140620.0,117112,274732.0
AA,21,39,25.2,44.123463146040564,209,390421.7290561121,209,0.6287865006028663,168.0,140620.0,117944,275564.0
AA,21,39,25.2,44.123463146040564,95,390281.5330451153,95,0.5838790452942801,168.0,140620.0,70520,228140.0
AA,21,39,25.2,44.123463146040564,211,390051.238566287,211,0.6292222320866461,168.0,140620.0,118776,276396.0
AA,21,39,25.2,44.123463146040564,213,389674.0811645811,213,0.6296516690448701,168.0,140620.0,119608,277228.0
AA,21,39,25.2,44.123463146040564,93,389537.88865038403,93,0.5823914099262344,168.0,140620.0,69688,227308.0
AA,21,39,25.2,44.123463146040564,215,389290.4140977857,215,0.6300749599411695,168.0,140620.0,120440,278060.0
AA,21,39,25.2,44.123463146040564,217,388900.38950064906,217,0.63049224841267,168.0,140620.0,121272,278892.0
AA,21,39,25.2,44.123463146040564,91,388742.08758527576,91,0.5808545311452766,168.0,140620.0,68856,226476.0
AA,21,39,25.2,44.123463146040564,219,388504.15460671776,219,0.630903673469057,168.0,140620.0,122104,279724.0
AA,21,39,25.2,44.123463146040564,221,388101.85194867884,221,0.6313093696817265,168.0,140620.0,122936,280556.0
AA,21,39,25.2,44.123463146040564,89,387891.23965227325,89,0.5792656801884564,168.0,140620.0,68024,225644.0
AA,21,39,25.2,44.123463146040564,223,387693.6195488096,223,0.6317094673635983,168.0,140620.0,123768,281388.0
AA,21,39,25.2,44.123463146040564,225,387279.5911001117,225,0.632104092740132,168.0,140620.0,124600,282220.0
AA,21,39,25.2,44.123463146040564,87,386982.2277757056,87,0.5776219140871519,168.0,140620.0,67192,224812.0
AA,21,39,25.2,44.123463146040564,227,386859.89613865677,227,0.6324933681120459,168.0,140620.0,125432,283052.0
AA,21,39,25.2,44.123463146040564,229,386434.6602076442,229,0.6328774120102119,168.0,140620.0,126264,283884.0
AA,21,39,25.2,44.123463146040564,85,386011.6847514638,85,0.5759200537154507,168.0,140620.0,66360,223980.0
AA,21,39,25.2,44.123463146040564,231,386004.0050136376,231,0.6332563393431645,168.0,140620.0,127096,284716.0
AA,21,39,25.2,44.123463146040564,233,385568.0485754146,233,0.633630261537637,168.0,140620.0,127928,285548.0
AA,21,39,25.2,44.123463146040564,235,385126.90536583913,235,0.6339992866725093,168.0,140620.0,128760,286380.0
AA,21,39,25.2,44.123463146040564,83,384975.96703365503,83,0.5741566590409741,168.0,140620.0,65528,223148.0
AA,21,39,25.2,44.123463146040564,237,384680.6864471383,237,0.6343635196065283,168.0,140620.0,129592,287212.0
AA,21,39,25.2,44.123463146040564,239,384229.4995999419,239,0.6347230621001403,168.0,140620.0,130424,288044.0
AA,21,39,25.2,44.123463146040564,81,383871.1251034668,81,0.5723280011488148,168.0,140620.0,64696,222316.0
AA,21,39,25.2,44.123463146040564,241,383773.44944642147,241,0.6350780129317521,168.0,140620.0,131256,288876.0
AA,21,39,25.2,44.123463146040564,243,383312.63756784645,243,0.6354284680087205,168.0,140620.0,132088,289708.0
AA,21,39,25.2,44.123463146040564,245,382847.1626168473,245,0.6357745204733449,168.0,140620.0,132920,290540.0
AA,21,39,25.2,44.123463146040564,79,382692.86988336744,79,0.570430030531702,168.0,140620.0,63864,221484.0
AA,21,39,25.2,44.123463146040564,247,382377.1204246725,247,0.6361162608041337,168.0,140620.0,133752,291372.0
AA,21,39,25.2,44.123463146040564,249,381902.60410369374,249,0.636453776912584,168.0,140620.0,134584,292204.0
AA,21,39,25.2,44.123463146040564,77,381436.53456046246,77,0.5684583410457489,168.0,140620.0,63032,220652.0
