Programme,p2_mu,p2_sigma,p3_mu,p3_sigma,N_3_max,eNPV,p_3eSS,assurance,N2,upto_p2_cost,p3_cost,total_cost
AA,21,39,21,55.154328932550705,124,336153.0906904732,124,0.5518866959622163,168.0,140620.0,82584,240204.0
AA,21,39,21,55.154328932550705,122,336145.36426207353,122,0.551082621801306,168.0,140620.0,81752,239372.0
AA,21,39,21,55.154328932550705,126,336140.68382519984,126,0.5526714916287634,168.0,140620.0,83416,241036.0
AA,21,39,21,55.154328932550705,120,336116.6734000803,120,0.550258473293822,168.0,140620.0,80920,238540.0
AA,21,39,21,55.154328932550705,128,336108.9295891151,128,0.5534377613558797,168.0,140620.0,84248,241868.0
AA,21,39,21,55.154328932550705,118,336066.1383579761,118,0.5494134080446477,168.0,140620.0,80088,237708.0
AA,21,39,21,55.154328932550705,130,336058.57179366087,130,0.5541862173750025,168.0,140620.0,85080,242700.0
AA,21,39,21,55.154328932550705,116,335992.8270780761,116,0.5485465335684739,168.0,140620.0,79256,236876.0
AA,21,39,21,55.154328932550705,132,335990.3149882328,132,0.5549175343224716,168.0,140620.0,85912,243532.0
AA,21,39,21,55.154328932550705,134,335904.8270778747,134,0.5556323517460844,168.0,140620.0,86744,244364.0
AA,21,39,21,55.154328932550705,114,335895.75113680016,114,0.5476569034072235,168.0,140620.0,78424,236044.0
AA,21,39,21,55.154328932550705,136,335802.7417311949,136,0.5563312764107792,168.0,140620.0,87576,245196.0
AA,21,39,21,55.154328932550705,112,335773.86130006565,112,0.5467435128741486,168.0,140620.0,77592,235212.0
AA,21,39,21,55.154328932550705,138,335684.6605980608,138,0.5570148844221732,168.0,140620.0,88408,246028.0
AA,21,39,21,55.154328932550705,110,335626.0426437991,110,0.5458052943815102,168.0,140620.0,76760,234380.0
AA,21,39,21,55.154328932550705,140,335551.15535454976,140,0.5576837231846906,168.0,140620.0,89240,246860.0
AA,21,39,21,55.154328932550705,108,335451.1091884745,108,0.5448411123029185,168.0,140620.0,75928,233548.0
AA,21,39,21,55.154328932550705,142,335402.7695908125,142,0.5583383132092739,168.0,140620.0,90072,247692.0
AA,21,39,21,55.154328932550705,106,335247.79798953945,106,0.5438497573146621,168.0,140620.0,75096,232716.0
AA,21,39,21,55.154328932550705,144,335240.02055589715,144,0.5589791497841264,168.0,140620.0,90904,248524.0
AA,21,39,21,55.154328932550705,146,335063.40077214304,146,0.5596067045205654,168.0,140620.0,91736,249356.0
AA,21,39,21,55.154328932550705,104,335014.7626174366,104,0.5428299401525473,168.0,140620.0,74264,231884.0
AA,21,39,21,55.154328932550705,148,334873.3795305005,148,0.5602214267848536,168.0,140620.0,92568,250188.0
AA,21,39,21,55.154328932550705,102,334750.5659514379,102,0.541780284711685,168.0,140620.0,73432,231052.0
AA,21,39,21,55.154328932550705,150,334670.40427700034,150,0.5608237450258045,168.0,140620.0,93400,251020.0
AA,21,39,21,55.154328932550705,152,334454.90189960366,152,0.5614140680069958,168.0,140620.0,94232,251852.0
AA,21,39,21,55.154328932550705,100,334453.6722004694,100,0.5406993204060876,168.0,140620.0,72600,230220.0
AA,21,39,21,55.154328932550705,154,334227.2799237708,154,0.561992785951578,168.0,140620.0,95064,252684.0
AA,21,39,21,55.154328932550705,98,334122.43805119325,98,0.5395854736925764,168.0,140620.0,71768,229388.0
AA,21,39,21,55.154328932550705,156,333987.92762428836,156,0.5625602716068969,168.0,140620.0,95896,253516.0
AA,21,39,21,55.154328932550705,96,333755.1028285007,96,0.5384370586490311,168.0,140620.0,70936,228556.0
AA,21,39,21,55.154328932550705,158,333737.21706019645,158,0.5631168812354811,168.0,140620.0,96728,254348.0
AA,21,39,21,55.154328932550705,160,333475.5040390092,160,0.5636629555383238,168.0,140620.0,97560,255180.0
AA,21,39,21,55.154328932550705,94,333349.77753579954,94,0.5372522664799937,168.0,140620.0,70104,227724.0
AA,21,39,21,55.154328932550705,162,333203.12901586236,162,0.564198820515856,168.0,140620.0,98392,256012.0
AA,21,39,21,55.154328932550705,164,332920.41793270735,164,0.564724788271511,168.0,140620.0,99224,256844.0
AA,21,39,21,55.154328932550705,92,332904.43262153724,92,0.5360291538025876,168.0,140620.0,69272,226892.0
AA,21,39,21,55.154328932550705,166,332627.6830022135,166,0.5652411577623435,168.0,140620.0,100056,257676.0
AA,21,39,21,55.154328932550705,168,332325.2234406257,168,0.5657482155007737,168.0,140620.0,100888,258508.0
AA,21,39,21,55.154328932550705,170,332013.3261534554,170,0.5662462362111648,168.0,140620.0,101720,259340.0
AA,21,39,21,55.154328932550705,172,331692.26637754706,172,0.5667354834446295,168.0,140620.0,102552,260172.0
AA,21,39,21,55.154328932550705,174,331362.30828275427,174,0.5672162101551614,168.0,140620.0,103384,261004.0
AA,21,39,21,55.154328932550705,176,331023.70553619624,176,0.5676886592399341,168.0,140620.0,104216,261836.0
AA,21,39,21,55.154328932550705,178,330676.70183180505,178,0.5681530640463655,168.0,140620.0,105048,262668.0
AA,21,39,21,55.154328932550705,180,330321.5313876587,180,0.5686096488483359,168.0,140620.0,105880,263500.0
AA,21,39,21,55.154328932550705,182,329958.4194133872,182,0.5690586292937496,168.0,140620.0,106712,264332.0
AA,21,39,21,55.154328932550705,184,329587.5825497535,184,0.5695002128254519,168.0,140620.0,107544,265164.0
AA,21,39,21,55.154328932550705,186,329209.22928234306,186,0.5699345990773552,168.0,140620.0,108376,265996.0
AA,21,39,21,55.154328932550705,188,328823.5603311445,188,0.5703619802474789,168.0,140620.0,109208,266828.0
AA,21,39,21,55.154328932550705,190,328430.7690176598,190,0.5707825414494734,168.0,140620.0,110040,267660.0
AA,21,39,21,55.154328932550705,192,328031.04161106027,192,0.5711964610440792,168.0,140620.0,110872,268492.0
AA,21,39,21,55.154328932550705,194,327624.55765478406,194,0.5716039109518583,168.0,140620.0,111704,269324.0
AA,21,39,21,55.154328932550705,196,327211.4902748659,196,0.5720050569484326,168.0,140620.0,112536,270156.0
AA,21,39,21,55.154328932550705,198,326792.0064711948,198,0.5724000589433766,168.0,140620.0,113368,270988.0
AA,21,39,21,55.154328932550705,200,326366.2673928011,200,0.5727890712438157,168.0,140620.0,114200,271820.0
AA,21,39,21,55.154328932550705,202,325934.42859820044,202,0.5731722428037171,168.0,140620.0,115032,272652.0
AA,21,39,21,55.154328932550705,204,325496.64030173817,204,0.5735497174597753,168.0,140620.0,115864,273484.0
AA,21,39,21,55.154328932550705,206,325053.04760681815,206,0.5739216341547385,168.0,140620.0,116696,274316.0
AA,21,39,21,55.154328932550705,208,324603.79072682885,208,0.5742881271489548,168.0,140620.0,117528,275148.0
AA,21,39,21,55.154328932550705,210,324149.0051945278,210,0.5746493262208672,168.0,140620.0,118360,275980.0
AA,21,39,21,55.154328932550705,212,323688.82206058875,212,0.5750053568571305,168.0,140620.0,119192,276812.0
AA,21,39,21,55.154328932550705,214,323223.3680819662,214,0.5753563404329789,168.0,140620.0,120024,277644.0
AA,21,39,21,55.154328932550705,216,322752.7659006899,216,0.575702394383429,168.0,140620.0,120856,278476.0
AA,21,39,21,55.154328932550705,218,322277.1342136564,218,0.576043632365863,168.0,140620.0,121688,279308.0
AA,21,39,21,55.154328932550705,220,321796.58793394896,220,0.5763801644144988,168.0,140620.0,122520,280140.0
