Programme,N_3_max,eNPV,p_3eSS,assurance,N2,upto_p2_cost,p3_cost,total_cost
E,368,2653033.7035635854,184.0,0.803,144.0,291200.0,204840.0,556040.0
E,364,2538659.385502136,182.0,0.774,144.0,291200.0,203320.0,554520.0
E,360,2492223.115959467,180.0,0.762,144.0,291200.0,201800.0,553000.0
E,356,2593652.010840027,178.0,0.787,144.0,291200.0,200280.0,551480.0
E,352,2543219.385502136,176.0,0.774,144.0,291200.0,198760.0,549960.0
E,348,2508772.183345134,174.0,0.765,144.0,291200.0,197240.0,548440.0
E,344,2542263.0297069135,172.0,0.773,144.0,291200.0,195720.0,546920.0
E,340,2455863.2022120203,170.0,0.751,144.0,291200.0,194200.0,545400.0
E,336,2477364.9811881324,168.0,0.756,144.0,291200.0,192680.0,543880.0
E,332,2502863.115959467,166.0,0.762,144.0,291200.0,191160.0,542360.0
E,328,2432448.7116454635,164.0,0.744,144.0,291200.0,189640.0,540840.0
E,324,2437965.0674406863,162.0,0.745,144.0,291200.0,188120.0,539320.0
E,320,2363554.3073314605,160.0,0.726,144.0,291200.0,186600.0,537800.0
E,316,2456990.4906215756,158.0,0.749,144.0,291200.0,185080.0,536280.0
E,312,2366594.3073314605,156.0,0.726,144.0,291200.0,183560.0,534760.0
E,308,2400085.1536932397,154.0,0.734,144.0,291200.0,182040.0,533240.0
E,304,2321678.0377887916,152.0,0.714,144.0,291200.0,180520.0,531720.0
E,300,2263252.7008604556,150.0,0.699,144.0,291200.0,179000.0,530200.0
E,296,2256779.989270011,148.0,0.697,144.0,291200.0,177480.0,528680.0
F,812,1942129.6058175052,406.0,0.905,158.0,255350.0,334576.0,637926.0
F,808,1917863.5942679388,404.0,0.896,158.0,255350.0,333184.0,636534.0
F,804,1893597.5827183723,402.0,0.887,158.0,255350.0,331792.0,635142.0
F,800,1909244.0335792429,400.0,0.892,158.0,255350.0,330400.0,633750.0
F,796,1967653.8370227236,398.0,0.912,158.0,255350.0,329008.0,632358.0
F,792,1929133.3746122872,396.0,0.898,158.0,255350.0,327616.0,630966.0
F,788,1924823.5942679388,394.0,0.896,158.0,255350.0,326224.0,629574.0
F,784,1917662.9237514166,392.0,0.893,158.0,255350.0,324832.0,628182.0
F,780,1910502.2532348945,390.0,0.89,158.0,255350.0,323440.0,626790.0
F,776,1883385.3515131543,388.0,0.88,158.0,255350.0,322048.0,625398.0
F,772,1913286.2532348945,386.0,0.89,158.0,255350.0,320656.0,624006.0
F,768,1917529.1434070687,384.0,0.891,158.0,255350.0,319264.0,622614.0
F,764,1887561.3515131543,382.0,0.88,158.0,255350.0,317872.0,621222.0
F,760,1874698.9006522838,380.0,0.875,158.0,255350.0,316480.0,619830.0
F,756,1941661.3746122872,378.0,0.898,158.0,255350.0,315088.0,618438.0
F,752,1905991.8023740244,376.0,0.885,158.0,255350.0,313696.0,617046.0
F,748,1873173.1203079359,374.0,0.873,158.0,255350.0,312304.0,615654.0
F,744,1885968.6809966322,372.0,0.877,158.0,255350.0,310912.0,614262.0
F,740,1924422.2532348945,370.0,0.89,158.0,255350.0,309520.0,612870.0
F,736,1883050.9006522838,368.0,0.875,158.0,255350.0,308128.0,611478.0
F,732,1867337.5596192395,366.0,0.869,158.0,255350.0,306736.0,610086.0
F,728,1851624.2185861953,364.0,0.863,158.0,255350.0,305344.0,608694.0
F,724,1887226.9006522838,362.0,0.875,158.0,255350.0,303952.0,607302.0
F,720,1885768.01048011,360.0,0.874,158.0,255350.0,302560.0,605910.0
F,716,1844396.6578974994,358.0,0.859,158.0,255350.0,301168.0,604518.0
F,712,1840086.8775531515,356.0,0.857,158.0,255350.0,299776.0,603126.0
F,708,1895645.790824458,354.0,0.876,158.0,255350.0,298384.0,601734.0
F,704,1791554.8544540186,352.0,0.839,158.0,255350.0,296992.0,600342.0
F,700,1818604.866003585,350.0,0.848,158.0,255350.0,295600.0,598950.0
F,696,1825698.646347933,348.0,0.85,158.0,255350.0,294208.0,597558.0
F,692,1824239.7561757588,346.0,0.849,158.0,255350.0,292816.0,596166.0
F,688,1856991.5480696731,344.0,0.86,158.0,255350.0,291424.0,594774.0
F,684,1798514.8544540186,342.0,0.839,158.0,255350.0,290032.0,593382.0
F,680,1802757.7446261924,340.0,0.84,158.0,255350.0,288640.0,591990.0
