Programme,p2_mu,p2_sigma,p3_mu,p3_sigma,N_3_max,eNPV,p_3eSS,assurance,N2,upto_p2_cost,p3_cost,total_cost
C,20,35,17.0,54.447222151364166,443,528833.4291817755,443,0.5760490440532292,136.0,239400.0,318800,580200.0
C,20,35,17.0,54.447222151364166,439,530821.3795413044,439,0.5758350191237274,136.0,239400.0,316400,577800.0
C,20,35,17.0,54.447222151364166,435,532803.6066631086,435,0.575618021456404,136.0,239400.0,314000,575400.0
C,20,35,17.0,54.447222151364166,431,534779.9789518774,431,0.575397982698628,136.0,239400.0,311600,573000.0
C,20,35,17.0,54.447222151364166,427,536750.3604361399,427,0.5751748322247232,136.0,239400.0,309200,570600.0
C,20,35,17.0,54.447222151364166,423,538714.6105802911,423,0.574948497038332,136.0,239400.0,306800,568200.0
C,20,35,17.0,54.447222151364166,419,540672.5840870121,419,0.5747189016697889,136.0,239400.0,304400,565800.0
C,20,35,17.0,54.447222151364166,415,542624.1306894913,415,0.5744859680681977,136.0,239400.0,302000,563400.0
C,20,35,17.0,54.447222151364166,411,544569.0949328223,411,0.5742496154878858,136.0,239400.0,299600,561000.0
C,20,35,17.0,54.447222151364166,407,546507.3159438944,407,0.5740097603688818,136.0,239400.0,297200,558600.0
C,20,35,17.0,54.447222151364166,403,548438.6271890516,403,0.5737663162110399,136.0,239400.0,294800,556200.0
C,20,35,17.0,54.447222151364166,399,550362.8562187292,399,0.5735191934414001,136.0,239400.0,292400,553800.0
C,20,35,17.0,54.447222151364166,395,552279.8243982219,395,0.5732682992743453,136.0,239400.0,290000,551400.0
C,20,35,17.0,54.447222151364166,391,554189.3466236736,391,0.5730135375640817,136.0,239400.0,287600,549000.0
C,20,35,17.0,54.447222151364166,387,556091.2310222962,387,0.5727548086489279,136.0,239400.0,285200,546600.0
C,20,35,17.0,54.447222151364166,383,557985.2786357587,383,0.5724920091868626,136.0,239400.0,282800,544200.0
C,20,35,17.0,54.447222151364166,379,559871.2830855895,379,0.5722250319817291,136.0,239400.0,280400,541800.0
C,20,35,17.0,54.447222151364166,375,561749.0302193505,375,0.5719537657994528,136.0,239400.0,278000,539400.0
C,20,35,17.0,54.447222151364166,371,563618.2977362315,371,0.5716780951735688,136.0,239400.0,275600,537000.0
C,20,35,17.0,54.447222151364166,367,565478.8547906023,367,0.5713979001993018,136.0,239400.0,273200,534600.0
C,20,35,17.0,54.447222151364166,363,567330.4615719432,363,0.571113056315374,136.0,239400.0,270800,532200.0
C,20,35,17.0,54.447222151364166,359,569172.8688594291,359,0.5708234340726507,136.0,239400.0,268400,529800.0
C,20,35,17.0,54.447222151364166,355,571005.8175493022,355,0.5705288988886493,136.0,239400.0,266000,527400.0
