Programme,p2_mu,p2_sigma,p3_mu,p3_sigma,N_3_max,eNPV,p_3eSS,assurance,N2,upto_p2_cost,p3_cost,total_cost
C,20,35,24.0,39.59797974644667,235,1094520.6334582153,235,0.6469861500506043,136.0,239400.0,194000,455400.0
C,20,35,24.0,39.59797974644667,231,1095159.3840471406,231,0.6462509485498619,136.0,239400.0,191600,453000.0
C,20,35,24.0,39.59797974644667,227,1095750.506738085,227,0.6454958656502372,136.0,239400.0,189200,450600.0
C,20,35,24.0,39.59797974644667,223,1096291.84163628,223,0.6447199997429829,136.0,239400.0,186800,448200.0
C,20,35,24.0,39.59797974644667,219,1096781.090158693,219,0.6439223913264608,136.0,239400.0,184400,445800.0
C,20,35,24.0,39.59797974644667,215,1097215.803426019,215,0.6431020181605902,136.0,239400.0,182000,443400.0
C,20,35,24.0,39.59797974644667,211,1097593.3694489994,211,0.6422577899180099,136.0,239400.0,179600,441000.0
C,20,35,24.0,39.59797974644667,207,1097910.9989586344,207,0.6413885422691582,136.0,239400.0,177200,438600.0
C,20,35,24.0,39.59797974644667,203,1098165.7097078436,203,0.6404930303292873,136.0,239400.0,174800,436200.0
C,20,35,24.0,39.59797974644667,199,1098354.3090463767,199,0.6395699213846767,136.0,239400.0,172400,433800.0
C,20,35,24.0,39.59797974644667,195,1098473.3745405895,195,0.6386177868027116,136.0,239400.0,170000,431400.0
C,20,35,24.0,39.59797974644667,191,1098519.2323742143,191,0.6376350930156778,136.0,239400.0,167600,429000.0
F,22,48,26.4,54.30580079512685,275,1413387.4742420006,275,0.6084481463644383,158.0,255350.0,243400,522750.0
F,22,48,26.4,54.30580079512685,271,1414276.294170285,271,0.6078525694402772,158.0,255350.0,240616,519966.0
F,22,48,26.4,54.30580079512685,267,1415121.969161805,267,0.6072434338421332,158.0,255350.0,237832,517182.0
F,22,48,26.4,54.30580079512685,263,1415922.8516087118,263,0.6066202217948199,158.0,255350.0,235048,514398.0
F,22,48,26.4,54.30580079512685,259,1416677.2049106804,259,0.6059823875564865,158.0,255350.0,232264,511614.0
F,22,48,26.4,54.30580079512685,255,1417383.197219887,255,0.605329355452922,158.0,255350.0,229480,508830.0
F,22,48,26.4,54.30580079512685,251,1418038.8946415333,251,0.6046605177407606,158.0,255350.0,226696,506046.0
F,22,48,26.4,54.30580079512685,247,1418642.2538331286,247,0.6039752322817412,158.0,255350.0,223912,503262.0
F,22,48,26.4,54.30580079512685,243,1419191.1139388012,243,0.6032728200079944,158.0,255350.0,221128,500478.0
F,22,48,26.4,54.30580079512685,239,1419683.1877870131,239,0.6025525621558471,158.0,255350.0,218344,497694.0
F,22,48,26.4,54.30580079512685,235,1420116.0522709968,235,0.6018136972427903,158.0,255350.0,215560,494910.0
F,22,48,26.4,54.30580079512685,231,1420487.1378208906,231,0.6010554177590063,158.0,255350.0,212776,492126.0
F,22,48,26.4,54.30580079512685,227,1420793.7168646753,227,0.6002768665411162,158.0,255350.0,209992,489342.0
F,22,48,26.4,54.30580079512685,223,1421032.8911613305,223,0.5994771327915142,158.0,255350.0,207208,486558.0
K,26,42,31.2,47.51757569573599,207,1609807.1864021197,207,0.6599387876232211,110.0,215750.0,194448,435198.0
K,26,42,31.2,47.51757569573599,203,1609733.0838459542,203,0.6590577626835373,110.0,215750.0,191792,432542.0
K,26,42,31.2,47.51757569573599,199,1609574.4139561814,199,0.6581494472196121,110.0,215750.0,189136,429886.0
K,26,42,31.2,47.51757569573599,195,1609326.780546819,195,0.6572124225486634,110.0,215750.0,186480,427230.0
K,26,42,31.2,47.51757569573599,191,1608985.4633459072,191,0.6562451654028896,110.0,215750.0,183824,424574.0
K,26,42,31.2,47.51757569573599,187,1608545.3867915708,187,0.6552460378597208,110.0,215750.0,181168,421918.0
K,26,42,31.2,47.51757569573599,183,1608001.085091381,183,0.6542132760662079,110.0,215750.0,178512,419262.0
K,26,42,31.2,47.51757569573599,179,1607346.6630062163,179,0.6531449775836753,110.0,215750.0,175856,416606.0
K,26,42,31.2,47.51757569573599,175,1606575.751728374,175,0.6520390871492503,110.0,215750.0,173200,413950.0
K,26,42,31.2,47.51757569573599,171,1605681.4591143122,171,0.6508933806155892,110.0,215750.0,170544,411294.0
K,26,42,31.2,47.51757569573599,167,1604656.3134010604,167,0.6497054467877333,110.0,215750.0,167888,408638.0
N,31,53,37.199999999999996,59.962655044619225,229,1965272.159034235,229,0.651142194398854,122.0,255780.0,224048,508828.0
N,31,53,37.199999999999996,59.962655044619225,225,1965225.3653219845,225,0.6503803326273151,122.0,255780.0,221200,505980.0
N,31,53,37.199999999999996,59.962655044619225,221,1965098.0673280917,221,0.6495972834618803,122.0,255780.0,218352,503132.0
N,31,53,37.199999999999996,59.962655044619225,217,1964886.510324589,217,0.6487920587203214,122.0,255780.0,215504,500284.0
N,31,53,37.199999999999996,59.962655044619225,213,1964586.6915645408,213,0.6479636049459245,122.0,255780.0,212656,497436.0
N,31,53,37.199999999999996,59.962655044619225,209,1964194.3389194454,209,0.6471107977852083,122.0,255780.0,209808,494588.0
N,31,53,37.199999999999996,59.962655044619225,205,1963704.8872323236,205,0.6462324357644481,122.0,255780.0,206960,491740.0
N,31,53,37.199999999999996,59.962655044619225,201,1963113.4520929474,201,0.6453272333877503,122.0,255780.0,204112,488892.0
N,31,53,37.199999999999996,59.962655044619225,197,1962414.8006973653,197,0.6443938134677627,122.0,255780.0,201264,486044.0
N,31,53,37.199999999999996,59.962655044619225,193,1961603.3194018994,193,0.6434306985864229,122.0,255780.0,198416,483196.0
N,31,53,37.199999999999996,59.962655044619225,189,1960672.9775205096,189,0.6424363015670242,122.0,255780.0,195568,480348.0
