Programme,p2_mu,p2_sigma,p3_mu,p3_sigma,N_3_max,eNPV,p_3eSS,assurance,N2,upto_p2_cost,p3_cost,total_cost
AH,26,45,26,63.63961030678928,127,402057.4179773346,127,0.5639420370701399,140.0,139400.0,89880,247280.0
AH,26,45,26,63.63961030678928,129,402047.3041163514,129,0.5646975231204961,140.0,139400.0,90760,248160.0
AH,26,45,26,63.63961030678928,125,402046.6056913141,125,0.5631683769031494,140.0,139400.0,89000,246400.0
AH,26,45,26,63.63961030678928,131,402017.06435061037,131,0.5654355300553527,140.0,139400.0,91640,249040.0
AH,26,45,26,63.63961030678928,123,402014.02197766316,123,0.5623758085030771,140.0,139400.0,88120,245520.0
AH,26,45,26,63.63961030678928,133,401967.45691403735,133,0.5661567163921045,140.0,139400.0,92520,249920.0
AH,26,45,26,63.63961030678928,121,401958.77321653534,121,0.5615635557714224,140.0,139400.0,87240,244640.0
AH,26,45,26,63.63961030678928,135,401899.20081734273,135,0.566861706583237,140.0,139400.0,93400,250800.0
AH,26,45,26,63.63961030678928,119,401879.91384822584,119,0.5607307975005181,140.0,139400.0,86360,243760.0
AH,26,45,26,63.63961030678928,137,401812.97841119126,137,0.5675510932424103,140.0,139400.0,94280,251680.0
AH,26,45,26,63.63961030678928,117,401776.44244009675,117,0.5598766639577012,140.0,139400.0,85480,242880.0
AH,26,45,26,63.63961030678928,139,401709.43774801097,139,0.5682254391956624,140.0,139400.0,95160,252560.0
AH,26,45,26,63.63961030678928,115,401647.297384234,115,0.5590002331487772,140.0,139400.0,84600,242000.0
AH,26,45,26,63.63961030678928,141,401589.19476084074,141,0.5688852793737137,140.0,139400.0,96040,253440.0
AH,26,45,26,63.63961030678928,113,401491.35218425514,113,0.5581005267246674,140.0,139400.0,83720,241120.0
AH,26,45,26,63.63961030678928,143,401452.83527570777,143,0.569531122559693,140.0,139400.0,96920,254320.0
AH,26,45,26,63.63961030678928,111,401307.41028416343,111,0.5571765054903283,140.0,139400.0,82840,240240.0
AH,26,45,26,63.63961030678928,145,401300.91687233734,145,0.5701634530051424,140.0,139400.0,97800,255200.0
AH,26,45,26,63.63961030678928,147,401133.97060649935,147,0.5707827319258557,140.0,139400.0,98680,256080.0
AH,26,45,26,63.63961030678928,109,401094.19938584964,109,0.5562270644695678,140.0,139400.0,81960,239360.0
AH,26,45,26,63.63961030678928,149,400952.50260597037,149,0.5713893988879529,140.0,139400.0,99560,256960.0
AH,26,45,26,63.63961030678928,107,400850.36519450834,107,0.5552510274730117,140.0,139400.0,81080,238480.0
AH,26,45,26,63.63961030678928,151,400756.99555091036,151,0.5719838730935701,140.0,139400.0,100440,257840.0
AH,26,45,26,63.63961030678928,105,400574.46452279214,105,0.5542471411091411,140.0,139400.0,80200,237600.0
AH,26,45,26,63.63961030678928,153,400547.9100484039,153,0.5725665545746327,140.0,139400.0,101320,258720.0
AH,26,45,26,63.63961030678928,155,400325.68590997765,155,0.5731378253023646,140.0,139400.0,102200,259600.0
AH,26,45,26,63.63961030678928,103,400264.9576747033,103,0.5532140681697907,140.0,139400.0,79320,236720.0
AH,26,45,26,63.63961030678928,157,400090.7433400756,157,0.5736980502194652,140.0,139400.0,103080,260480.0
AH,26,45,26,63.63961030678928,101,399920.20001879777,101,0.5521503803115734,140.0,139400.0,78440,235840.0
AH,26,45,26,63.63961030678928,159,399843.48404272285,159,0.5742475782012341,140.0,139400.0,103960,261360.0
AH,26,45,26,63.63961030678928,161,399584.2922529387,161,0.5747867429513412,140.0,139400.0,104840,262240.0
AH,26,45,26,63.63961030678928,99,399538.432646945,99,0.5510545499431222,140.0,139400.0,77560,234960.0
AH,26,45,26,63.63961030678928,163,399313.53569886903,163,0.5753158638374282,140.0,139400.0,105720,263120.0
AH,26,45,26,63.63961030678928,97,399117.77199929394,97,0.5499249412144921,140.0,139400.0,76680,234080.0
AH,26,45,26,63.63961030678928,165,399031.56650005723,165,0.5758352466712456,140.0,139400.0,106600,264000.0
AH,26,45,26,63.63961030678928,167,398738.72200680047,167,0.5763451844376247,140.0,139400.0,107480,264880.0
AH,26,45,26,63.63961030678928,95,398656.19831776945,95,0.5487597999891561,140.0,139400.0,75800,233200.0
AH,26,45,26,63.63961030678928,169,398435.32558509463,169,0.5768459579761928,140.0,139400.0,108360,265760.0
AH,26,45,26,63.63961030678928,93,398151.5427688989,93,0.5475572426603287,140.0,139400.0,74920,232320.0
AH,26,45,26,63.63961030678928,171,398121.6873512835,171,0.5773378366194074,140.0,139400.0,109240,266640.0
AH,26,45,26,63.63961030678928,173,397798.10486017016,173,0.5778210787901735,140.0,139400.0,110120,267520.0
AH,26,45,26,63.63961030678928,91,397601.47305129154,91,0.5463152436512281,140.0,139400.0,74040,231440.0
AH,26,45,26,63.63961030678928,175,397464.86375003075,175,0.5782959325620302,140.0,139400.0,111000,268400.0
AH,26,45,26,63.63961030678928,177,397122.23834768066,177,0.5787626361846435,140.0,139400.0,111880,269280.0
AH,26,45,26,63.63961030678928,89,397003.47727295896,89,0.5450316214127157,140.0,139400.0,73160,230560.0
AH,26,45,26,63.63961030678928,179,396770.492236478,179,0.5792214185771115,140.0,139400.0,112760,270160.0
AH,26,45,26,63.63961030678928,181,396409.8787899184,181,0.5796724997913844,140.0,139400.0,113640,271040.0
AH,26,45,26,63.63961030678928,87,396354.8458478119,87,0.5437040227006128,140.0,139400.0,72280,229680.0
AH,26,45,26,63.63961030678928,183,396040.64167324756,183,0.5801160914479097,140.0,139400.0,114520,271920.0
AH,26,45,26,63.63961030678928,185,395663.0153153371,185,0.580552397145451,140.0,139400.0,115400,272800.0
AH,26,45,26,63.63961030678928,85,395652.65111789666,85,0.542329904877849,140.0,139400.0,71400,228800.0
AH,26,45,26,63.63961030678928,187,395277.2253528753,187,0.5809816128468624,140.0,139400.0,116280,273680.0
AH,26,45,26,63.63961030678928,83,394893.7243567292,83,0.5409065159421235,140.0,139400.0,70520,227920.0
AH,26,45,26,63.63961030678928,189,394883.4890487746,189,0.5814039272424704,140.0,139400.0,117160,274560.0
AH,26,45,26,63.63961030678928,191,394482.01568653795,191,0.5818195220925765,140.0,139400.0,118040,275440.0
AH,26,45,26,63.63961030678928,81,394074.629747509,81,0.5394308719262847,140.0,139400.0,69640,227040.0
AH,26,45,26,63.63961030678928,193,394073.00694220525,193,0.5822285725504889,140.0,139400.0,118920,276320.0
AH,26,45,26,63.63961030678928,195,393656.6572353599,195,0.5826312474673668,140.0,139400.0,119800,277200.0
AH,26,45,26,63.63961030678928,197,393233.15406058077,197,0.5830277096800837,140.0,139400.0,120680,278080.0
AH,26,45,26,63.63961030678928,79,393191.6348556905,79,0.5378997312541002,140.0,139400.0,68760,226160.0
AH,26,45,26,63.63961030678928,199,392802.6783006049,199,0.5834181162832043,140.0,139400.0,121560,278960.0
AH,26,45,26,63.63961030678928,201,392365.4045223874,201,0.58380261888611,140.0,139400.0,122440,279840.0
AH,26,45,26,63.63961030678928,77,392240.67702531104,77,0.5363095655558564,140.0,139400.0,67880,225280.0
AH,26,45,26,63.63961030678928,203,391921.5012571437,203,0.5841813638562122,140.0,139400.0,123320,280720.0
AH,26,45,26,63.63961030678928,205,391471.13126539276,205,0.5845544925491392,140.0,139400.0,124200,281600.0
AH,26,45,26,63.63961030678928,207,391014.45178793475,207,0.5849221415267071,140.0,139400.0,125080,282480.0
AH,26,45,26,63.63961030678928,209,390551.61478363967,209,0.5852844427634368,140.0,139400.0,125960,283360.0
AH,26,45,26,63.63961030678928,211,390082.7671548567,211,0.5856415238423197,140.0,139400.0,126840,284240.0
AB,25,44,25,62.22539674441618,127,390016.33478087804,127,0.5612894386364198,148.0,139260.0,87864,245124.0
AB,25,44,25,62.22539674441618,129,390007.77715491434,129,0.5620454145107504,148.0,139260.0,88728,245988.0
AB,25,44,25,62.22539674441618,125,390004.32813183067,125,0.5605152895966564,148.0,139260.0,87000,244260.0
AB,25,44,25,62.22539674441618,131,389979.4412310233,131,0.562783911807304,148.0,139260.0,89592,246852.0
AB,25,44,25,62.22539674441618,123,389970.92701691436,123,0.5597222337309841,148.0,139260.0,86136,243396.0
AB,25,44,25,62.22539674441618,133,389932.0717458754,133,0.5635055886685489,148.0,139260.0,90456,247716.0
AB,25,44,25,62.22539674441618,121,389915.25379253307,121,0.5589094954437519,148.0,139260.0,85272,242532.0
AB,25,44,25,62.22539674441618,135,389866.37492880295,135,0.5642110692070533,148.0,139260.0,91320,248580.0
AB,25,44,25,62.22539674441618,119,389836.379829335,119,0.5580762540819182,148.0,139260.0,84408,241668.0
AB,25,44,25,62.22539674441618,137,389783.02101716923,137,0.5649009457283799,148.0,139260.0,92184,249444.0
AB,25,44,25,62.22539674441618,117,389733.32165312907,117,0.5572216405246818,148.0,139260.0,83544,240804.0
AB,25,44,25,62.22539674441618,139,389682.64657420525,139,0.5655757807794164,148.0,139260.0,93048,250308.0
AH,26,45,26,63.63961030678928,213,389608.05096119514,213,0.5859935081404831,140.0,139400.0,127720,285120.0
AB,25,44,25,62.22539674441618,115,389605.0367236425,115,0.5563447334530642,148.0,139260.0,82680,239940.0
AB,25,44,25,62.22539674441618,141,389565.856627353,141,0.566236109038083,148.0,139260.0,93912,251172.0
AB,25,44,25,62.22539674441618,113,389450.41881033254,113,0.5554445552633984,148.0,139260.0,81816,239076.0
AB,25,44,25,62.22539674441618,143,389433.2266432963,143,0.5668824390587168,148.0,139260.0,94776,252036.0
AB,25,44,25,62.22539674441618,145,389285.30435419,145,0.5675152548859564,148.0,139260.0,95640,252900.0
AB,25,44,25,62.22539674441618,111,389268.2929190963,111,0.5545200675839353,148.0,139260.0,80952,238212.0
AH,26,45,26,63.63961030678928,215,389127.6036223823,215,0.586340515005371,140.0,139400.0,128600,286000.0
AB,25,44,25,62.22539674441618,147,389122.611448138,147,0.5681350175486594,148.0,139260.0,96504,253764.0
AB,25,44,25,62.22539674441618,109,389057.40971751383,109,0.5535701663482909,148.0,139260.0,80088,237348.0
AB,25,44,25,62.22539674441618,149,388945.64513567137,149,0.5687421664442384,148.0,139260.0,97368,254628.0
AB,25,44,25,62.22539674441618,107,388816.43939909956,107,0.552593676373132,148.0,139260.0,79224,236484.0
AB,25,44,25,62.22539674441618,151,388754.8796028147,151,0.5693371206227726,148.0,139260.0,98232,255492.0
AH,26,45,26,63.63961030678928,217,388641.5581108489,217,0.5866826599220013,140.0,139400.0,129480,286880.0
