Programme,p2_mu,p2_sigma,p3_mu,p3_sigma,N_3_max,eNPV,p_3eSS,assurance,N2,upto_p2_cost,p3_cost,total_cost
AA,21,39,17.849999999999998,60.66976182580578,112,251926.38970228191,112,0.5220715680855131,168.0,140620.0,77592,235212.0
AB,25,44,30.0,49.78031739553295,97,448685.4064528956,97,0.5973706203834154,148.0,139260.0,74904,232164.0
AB,25,44,30.0,49.78031739553295,99,449405.9797081652,99,0.5987609094834306,148.0,139260.0,75768,233028.0
AB,25,44,30.0,49.78031739553295,101,450078.50828798814,101,0.6001090446543896,148.0,139260.0,76632,233892.0
AB,25,44,30.0,49.78031739553295,103,450705.3334959585,103,0.6014170801332016,148.0,139260.0,77496,234756.0
AB,25,44,30.0,49.78031739553295,53,412409.3820021999,53,0.548864957206798,148.0,139260.0,55896,213156.0
AB,25,44,30.0,49.78031739553295,105,451288.6413840372,105,0.6026869339405093,148.0,139260.0,78360,235620.0
AB,25,44,30.0,49.78031739553295,107,451830.4756642389,107,0.6039203992092764,148.0,139260.0,79224,236484.0
AB,25,44,30.0,49.78031739553295,95,447914.2776022883,95,0.5959359742977516,148.0,139260.0,74040,231300.0
AB,25,44,30.0,49.78031739553295,109,452332.7493373108,109,0.6051191543876772,148.0,139260.0,80088,237348.0
AB,25,44,30.0,49.78031739553295,113,453225.67526060727,113,0.607418729198112,148.0,139260.0,81816,239076.0
AB,25,44,30.0,49.78031739553295,115,453619.5894706039,115,0.6085224108417954,148.0,139260.0,82680,239940.0
AB,25,44,30.0,49.78031739553295,117,453980.4833770812,117,0.6095971207936309,148.0,139260.0,83544,240804.0
AB,25,44,30.0,49.78031739553295,119,454309.7552748526,119,0.6106440859038328,148.0,139260.0,84408,241668.0
AB,25,44,30.0,49.78031739553295,121,454608.7226376729,121,0.6116644621110076,148.0,139260.0,85272,242532.0
AB,25,44,30.0,49.78031739553295,123,454878.6279934665,123,0.6126593395970222,148.0,139260.0,86136,243396.0
AB,25,44,30.0,49.78031739553295,125,455120.6442879458,125,0.6136297474929907,148.0,139260.0,87000,244260.0
AB,25,44,30.0,49.78031739553295,111,452797.2551859121,111,0.6062847724457093,148.0,139260.0,80952,238212.0
AB,25,44,30.0,49.78031739553295,127,455335.8797882845,127,0.6145766581817081,148.0,139260.0,87864,245124.0
AB,25,44,30.0,49.78031739553295,93,447089.8966061048,93,0.5944546052995935,148.0,139260.0,73176,230436.0
AB,25,44,30.0,49.78031739553295,87,444267.09977752063,87,0.5897037154404198,148.0,139260.0,70584,227844.0
AB,25,44,30.0,49.78031739553295,61,423344.52439540415,61,0.5614916050058208,148.0,139260.0,59352,216612.0
AB,25,44,30.0,49.78031739553295,63,425645.4286511068,63,0.5642684610928856,148.0,139260.0,60216,217476.0
AB,25,44,30.0,49.78031739553295,59,420884.7323104467,59,0.5585753422889878,148.0,139260.0,58488,215748.0
AB,25,44,30.0,49.78031739553295,65,427799.4691759191,65,0.5669164603766659,148.0,139260.0,61080,218340.0
AB,25,44,30.0,49.78031739553295,57,418252.6237279343,57,0.5555078907599577,148.0,139260.0,57624,214884.0
AB,25,44,30.0,49.78031739553295,67,429817.4475024666,67,0.5694450800164046,148.0,139260.0,61944,219204.0
AB,25,44,30.0,49.78031739553295,69,431709.09674080345,69,0.5718628597478146,148.0,139260.0,62808,220068.0
AB,25,44,30.0,49.78031739553295,89,445269.5543369261,89,0.5913413244439706,148.0,139260.0,71448,228708.0
AB,25,44,30.0,49.78031739553295,71,433483.2127429034,71,0.5741775169655218,148.0,139260.0,63672,220932.0
AB,25,44,30.0,49.78031739553295,75,436709.9989373515,75,0.5785247979865408,148.0,139260.0,65400,222660.0
AB,25,44,30.0,49.78031739553295,77,438176.50671445066,77,0.5805695627515819,148.0,139260.0,66264,223524.0
AB,25,44,30.0,49.78031739553295,79,439553.3110959965,79,0.5825356226333637,148.0,139260.0,67128,224388.0
AB,25,44,30.0,49.78031739553295,55,415433.1494317907,55,0.5522760463835082,148.0,139260.0,56760,214020.0
