,eNPV,p_3eSS,assurance,N2,upto_p2_cost,p3_cost,total_cost
0,10969.525681207044,1,0.09196855089874713,50,120000,50800,172800
1,118408.91583970259,2,0.14613759675191898,50,120000,51600,173600
2,206852.8312020527,3,0.19080024439157123,50,120000,52400,174400
3,279359.1520758994,4,0.2274868281844776,50,120000,53200,175200
4,339436.20160032314,5,0.2579531092884782,50,120000,54000,176000
5,389905.4915898044,6,0.28361113005368294,50,120000,54800,176800
6,432878.9454799397,7,0.30551781511033677,50,120000,55600,177600
7,469920.26499873353,8,0.3244557282781447,50,120000,56400,178400
8,502195.99150618503,9,0.34100867211112035,50,120000,57200,179200
9,530588.1498674843,10,0.3556180611931426,50,120000,58000,180000
10,555773.676871192,11,0.3686226725617165,50,120000,58800,180800
11,578279.8309711777,12,0.38028637584251446,50,120000,59600,181600
12,598523.0497191743,13,0.39081757968234954,50,120000,60400,182400
13,616836.5122968004,14,0.4003830255820745,50,120000,61200,183200
14,633489.9592363539,15,0.4091177067936017,50,120000,62000,184000
15,648704.148068191,16,0.4171321027345146,50,120000,62800,184800
16,662661.5444913333,17,0.4245175294479142,50,120000,63600,185600
17,675514.335323577,18,0.43135014973090574,50,120000,64400,186400
18,687390.5099618614,19,0.4376940166375704,50,120000,65200,187200
19,698398.5304492823,20,0.4436034106417465,50,120000,66000,188000
20,708630.9572033853,21,0.4491246541542947,50,120000,66800,188800
21,718167.2928099172,22,0.4542975347165754,50,120000,67600,189600
22,727076.2338078455,23,0.4591564319196399,50,120000,68400,190400
23,735417.4695605006,24,0.46373121765998027,50,120000,69200,191200
24,743243.131222897,25,0.46804798128383396,50,120000,70000,192000
25,750598.9678987956,26,0.47212961820197263,50,120000,70800,192800
26,757525.3082601003,27,0.4759963111378426,50,120000,71600,193600
27,764057.8520884296,28,0.4796659262592466,50,120000,72400,194400
28,770228.3259600698,29,0.48315434131977414,50,120000,73200,195200
29,776065.0296340996,30,0.48647571910198456,50,120000,74000,196000
30,781593.2939193154,31,0.48964273655963,50,120000,74800,196800
31,786835.8663915506,32,0.49266677785217905,50,120000,75600,197600
32,791813.2379529144,33,0.49555809777332854,50,120000,76400,198400
33,796543.9206105854,34,0.4983259607670504,50,120000,77200,199200
34,801044.684816796,35,0.5009787597057973,50,120000,78000,200000
35,805330.7631149967,36,0.5035241178064355,50,120000,78800,200800
36,809416.0255769168,37,0.5059689764287635,50,120000,79600,201600
37,813313.1315143548,38,0.5083196710005798,50,120000,80400,202400
38,817033.6611500076,39,0.510581996913131,50,120000,81200,203200
39,820588.230289344,40,0.5127612669093321,50,120000,82000,204000
40,823986.5905168791,41,0.5148623612275879,50,120000,82800,204800
41,827237.7170191709,42,0.5168897715533326,50,120000,83600,205600
42,830349.8857934913,43,0.5188476396585685,50,120000,84400,206400
43,833330.7417197526,44,0.520739791468866,50,120000,85200,207200
44,836187.3587417041,45,0.5225697671814004,50,120000,86000,208000
45,838926.2932120027,46,0.52434084796181,50,120000,86800,208800
46,841553.6312969159,47,0.5260560796681614,50,120000,87600,209600
47,844075.0312040988,48,0.5277182939840906,50,120000,88400,210400
48,846495.7608861853,49,0.5293301272877905,50,120000,89200,211200
49,848820.7317800922,50,0.5308940375370444,50,120000,90000,212000
50,851054.5290636823,51,0.5324123194113545,50,120000,90800,212800
51,853201.4388453735,52,0.5338871179191421,50,120000,91600,213600
52,855265.4726462273,53,0.5353204406499549,50,120000,92400,214400
53,857250.3894864337,54,0.5367141688277791,50,120000,93200,215200
54,859159.7158474736,55,0.5380700673012228,50,120000,94000,216000
55,860996.7637465082,56,0.5393897935889508,50,120000,94800,216800
56,862764.647129725,57,0.5406749060838326,50,120000,95600,217600
57,864466.2967657736,58,0.5419268715064506,50,120000,96400,218400
58,866104.4737983118,59,0.543147071687552,50,120000,97200,219200
59,867681.7820975976,60,0.5443368097494773,50,120000,98000,220000
60,869200.6795345284,61,0.5454973157483191,50,120000,98800,220800
61,870663.4882861488,62,0.5466297518313753,50,120000,99600,221600
62,872072.404269157,63,0.5477352169582036,50,120000,100400,222400
