,eNPV,p_3eSS,assurance,N2,upto_p2_cost,p3_cost,total_cost,Programme
0,2682920.3208855023,200.0,0.8276666666666667,144.0,291200.0,217000.0,568200.0,E
1,2725286.3345273724,208.0,0.84,144.0,291200.0,223080.0,574280.0,E
2,2766342.996449192,216.0,0.852,144.0,291200.0,229160.0,580360.0,E
3,2825730.5824517193,224.0,0.8686666666666667,144.0,291200.0,235240.0,586440.0,E
4,2881190.113294095,232.0,0.8843333333333333,144.0,291200.0,241320.0,592520.0,E
5,2867254.0029737917,240.0,0.8823333333333333,144.0,291200.0,247400.0,598600.0,E
6,2883432.982214651,248.0,0.888,144.0,291200.0,253480.0,604680.0,E
7,3005669.4507796043,256.0,0.9206666666666666,144.0,291200.0,259560.0,610760.0,E
8,2983877.2301389975,264.0,0.9166666666666666,144.0,291200.0,265640.0,616840.0,E
9,3027552.5955009186,272.0,0.9293333333333333,144.0,291200.0,271720.0,622920.0,E
10,3012307.133460565,280.0,0.927,144.0,291200.0,277800.0,629000.0,E
11,3020630.0023811203,288.0,0.9306666666666666,144.0,291200.0,283880.0,635080.0,E
12,3081326.9401036985,296.0,0.9476666666666667,144.0,291200.0,289960.0,641160.0,E
13,3077865.6435437994,304.0,0.9483333333333334,144.0,291200.0,296040.0,647240.0,E
14,3070476.291823749,312.0,0.948,144.0,291200.0,302120.0,653320.0,E
15,3091892.67794481,320.0,0.955,144.0,291200.0,308200.0,659400.0,E
16,3118546.470946074,328.0,0.9633333333333334,144.0,291200.0,314280.0,665480.0,E
17,3128178.6915866807,336.0,0.9673333333333334,144.0,291200.0,320360.0,671560.0,E
18,3122098.6915866807,344.0,0.9673333333333334,144.0,291200.0,326440.0,677640.0,E
19,3121256.098466883,352.0,0.9686666666666667,144.0,291200.0,332520.0,683720.0,E
20,3145291.1880280455,360.0,0.9763333333333334,144.0,291200.0,338600.0,689800.0,E
21,3140520.539748096,368.0,0.9766666666666667,144.0,291200.0,344680.0,695880.0,E
22,3138368.5949082477,376.0,0.9776666666666667,144.0,291200.0,350760.0,701960.0,E
23,3150619.518988955,384.0,0.9823333333333333,144.0,291200.0,356840.0,708040.0,E
24,3141920.815548854,392.0,0.9816666666666667,144.0,291200.0,362920.0,714120.0,E
25,3152862.387909511,400.0,0.986,144.0,291200.0,369000.0,720200.0,E
26,3127142.1121087526,408.0,0.981,144.0,291200.0,375080.0,726280.0,E
27,3126299.518988955,416.0,0.9823333333333333,144.0,291200.0,381160.0,732360.0,E
28,3159500.0705904714,424.0,0.9923333333333333,144.0,291200.0,387240.0,738440.0,E
29,3152110.718870421,432.0,0.992,144.0,291200.0,393320.0,744520.0,E
30,3140793.3119902187,440.0,0.9906666666666667,144.0,291200.0,399400.0,750600.0,E
31,3132094.6085501174,448.0,0.99,144.0,291200.0,405480.0,756680.0,E
32,3120777.2016699156,456.0,0.9886666666666667,144.0,291200.0,411560.0,762760.0,E
33,3129100.0705904714,464.0,0.9923333333333333,144.0,291200.0,417640.0,768840.0,E
34,3129566.829190724,472.0,0.994,144.0,291200.0,423720.0,774920.0,E
35,3130033.5877909767,480.0,0.9956666666666667,144.0,291200.0,429800.0,781000.0,E
36,3125262.939511027,488.0,0.996,144.0,291200.0,435880.0,787080.0,E
37,3117873.5877909767,496.0,0.9956666666666667,144.0,291200.0,441960.0,793160.0,E
38,3111793.5877909767,504.0,0.9956666666666667,144.0,291200.0,448040.0,799240.0,E
39,3114879.049831331,512.0,0.998,144.0,291200.0,454120.0,805320.0,E
40,3106180.3463912294,520.0,0.9973333333333333,144.0,291200.0,460200.0,811400.0,E
41,3096172.2912310776,528.0,0.9963333333333333,144.0,291200.0,466280.0,817480.0,E
42,3096639.049831331,536.0,0.998,144.0,291200.0,472360.0,823560.0,E
43,3093177.7532714317,544.0,0.9986666666666667,144.0,291200.0,478440.0,829640.0,E
44,3083169.6981112803,552.0,0.9976666666666667,144.0,291200.0,484520.0,835720.0,E
45,3082327.104991482,560.0,0.999,144.0,291200.0,490600.0,841800.0,E
46,3074937.7532714317,568.0,0.9986666666666667,144.0,291200.0,496680.0,847880.0,E
47,3070167.104991482,576.0,0.999,144.0,291200.0,502760.0,853960.0,E
48,3065396.4567115325,584.0,0.9993333333333333,144.0,291200.0,508840.0,860040.0,E
49,3059316.4567115325,592.0,0.9993333333333333,144.0,291200.0,514920.0,866120.0,E
50,2194201.6915213494,200.0,0.8806666666666667,110.0,227000.0,194400.0,473400.0,M
51,2205990.4260996473,208.0,0.8863333333333333,110.0,227000.0,199776.0,478776.0,M
52,2218788.8509472567,216.0,0.8923333333333333,110.0,227000.0,205152.0,484152.0,M
53,2298226.8335694345,224.0,0.9203333333333333,110.0,227000.0,210528.0,489528.0,M
54,2272657.028183202,232.0,0.9136666666666666,110.0,227000.0,215904.0,494904.0,M
55,2303629.8778784205,240.0,0.9256666666666666,110.0,227000.0,221280.0,500280.0,M
56,2352777.152421249,248.0,0.9436666666666667,110.0,227000.0,226656.0,505656.0,M
57,2330236.417842951,256.0,0.938,110.0,227000.0,232032.0,511032.0,M
58,2376354.621577845,264.0,0.955,110.0,227000.0,237408.0,516408.0,M
59,2375017.3826550916,272.0,0.9563333333333334,110.0,227000.0,242784.0,521784.0,M
60,2381757.665886831,280.0,0.9603333333333334,110.0,227000.0,248160.0,527160.0,M
61,2398594.851811687,288.0,0.9676666666666667,110.0,227000.0,253536.0,532536.0,M
62,2386151.0199265056,296.0,0.9653333333333334,110.0,227000.0,258912.0,537912.0,M
63,2411065.728005855,304.0,0.9753333333333334,110.0,227000.0,264288.0,543288.0,M
64,2398621.8961206735,312.0,0.973,110.0,227000.0,269664.0,548664.0,M
65,2399304.037736543,320.0,0.975,110.0,227000.0,275040.0,554040.0,M
66,2402005.5598910362,328.0,0.9776666666666667,110.0,227000.0,280416.0,559416.0,M
67,2398648.9404296596,336.0,0.9783333333333334,110.0,227000.0,285792.0,564792.0,M
68,2414476.4360852037,344.0,0.9853333333333333,110.0,227000.0,291168.0,570168.0,M
69,2405061.6750079575,352.0,0.984,110.0,227000.0,296544.0,575544.0,M
70,2403724.4360852037,360.0,0.9853333333333333,110.0,227000.0,301920.0,580920.0,M
71,2405416.2679703855,368.0,0.9876666666666667,110.0,227000.0,307296.0,586296.0,M
72,2412156.5512021254,376.0,0.9916666666666667,110.0,227000.0,312672.0,591672.0,M
